FILE,WATCHED,CUT,SOUND,HISS,MOVEMENT,NOISE,WEIRD
40_1_trial_30_p1_bang_gebaren_final.avi,1,1,0,0,0,0,0
40_1_trial_31_p1_ademen_gebaren_final.avi,1,1,0,0,0,0,0
40_1_trial_35_p1_zuigen_gebaren_final.avi,1,1,0,0,0,0,0
40_1_trial_38_p0_ik_geluiden_final.avi,1,0,0,0,0,0,0
40_1_trial_41_p0_oud_geluiden_final.avi,1,1,0,0,0,0,0
40_1_trial_44_p0_fluisteren_geluiden_final.avi,1,1,0,0,0,0,0
40_2_trial_31_p1_scherp_combinatie_c0_final.avi,1,1,0,0,0,0,0
40_2_trial_35_p1_vangen_combinatie_c0_final.avi,1,0,0,0,0,0,0
40_2_trial_67_p1_berg_geluiden_c0_final.avi,1,1,0,0,0,0,0
40_2_trial_70_p1_verdrietig_geluiden_c0_final.avi,1,1,0,0,0,0,0
40_2_trial_71_p1_verdrietig_geluiden_c1_final.avi,1,1,0,0,0,0,0
40_2_trial_74_p1_piepen_geluiden_c1_final.avi,1,1,0,0,0,0,0
41_1_trial_16_p1_slapen_geluiden_final.avi,1,1,0,0,0,0,0
41_1_trial_39_p0_geur_gebaren_final.avi,1,1,0,0,0,0,0
41_2_trial_13_p1_zoemen_gebaren_c0_final.avi,1,1,0,0,0,0,0
41_2_trial_14_p1_zoemen_gebaren_c1_final.avi,1,0,0,0,0,0,0
43_1_trial_12_p1_zout_combinatie_final.avi,1,1,0,0,0,0,0
43_1_trial_1_p0_zoemen_combinatie_final.avi,1,1,0,0,0,0,0
43_1_trial_4_p0_hond_combinatie_final.avi,1,0,0,0,0,0,0
45_1_trial_2_p0_boos_gebaren_final.avi,1,1,0,0,0,0,0
45_1_trial_33_p1_kauwen_combinatie_final.avi,1,1,0,0,0,0,0
45_2_trial_112_p1_jagen_combinatie_c0_final.avi,1,1,0,0,0,0,0
45_2_trial_19_p0_zwemmen_geluiden_c0_final.avi,1,1,0,0,0,0,0
45_2_trial_25_p1_hoorn_geluiden_c0_final.avi,1,1,0,0,0,0,0
45_2_trial_31_p1_niet_geluiden_c0_final.avi,1,1,0,0,0,0,0
45_2_trial_7_p0_verbranden_geluiden_c0_final.avi,1,1,0,0,0,0,0
45_2_trial_82_p0_ik_combinatie_c0_final.avi,1,0,0,0,0,0,0
46_1_trial_16_p1_springen_combinatie_final.avi,1,0,0,0,0,0,0
46_1_trial_17_p1_staan_combinatie_final.avi,1,0,0,0,0,0,0
46_1_trial_32_p1_ademen_gebaren_final.avi,1,1,0,0,0,0,0
46_1_trial_50_p1_verbranden_geluiden_final.avi,1,0,0,0,0,0,0
46_2_trial_84_p0_langzaam_combinatie_c0_final.avi,1,1,0,0,0,0,0
47_1_trial_49_p1_zout_combinatie_final.avi,1,1,0,0,0,0,0
48_1_trial_24_p0_langzaam_combinatie_final.avi,1,1,0,0,0,0,0
48_1_trial_32_p1_piepen_combinatie_final.avi,1,1,0,0,0,0,0
48_2_trial_101_p1_water_geluiden_c1_final.avi,1,0,0,0,0,0,0
48_2_trial_69_p0_hond_geluiden_c0_final.avi,1,1,0,0,0,0,0
48_2_trial_78_p0_springen_geluiden_c2_final.avi,1,1,0,0,0,0,0
48_2_trial_81_p0_staan_geluiden_c2_final.avi,1,1,0,0,0,0,0
48_2_trial_82_p0_lopen_geluiden_c0_final.avi,1,1,0,0,0,0,0
48_2_trial_87_p1_kind_geluiden_c0_final.avi,1,1,0,0,0,0,0
48_2_trial_88_p1_kind_geluiden_c1_final.avi,1,1,0,0,0,0,0
48_2_trial_97_p1_jagen_geluiden_c0_final.avi,1,0,0,0,0,0,0
48_2_trial_98_p1_jagen_geluiden_c1_final.avi,1,0,0,0,0,0,0
48_2_trial_99_p1_jagen_geluiden_c2_final.avi,1,0,0,0,0,0,0
49_1_rein_trial_26_p0_zuigen_geluiden_final.avi,1,1,0,0,0,0,0
49_2_rein_trial_83_p1_kind_combinatie_c0_final.avi,1,0,0,0,0,0,0
49_2_rein_trial_38_p1_stil_geluiden_c2_final.avi,1,0,0,0,0,0,0
49_2_rein_trial_36_p1_stil_geluiden_c0_final.avi,1,1,0,0,0,0,0
49_2_rein_trial_72_p0_dood_combinatie_c0_final.avi,1,1,0,0,0,0,0
4_1_trial_15_p1_vechten_combinatie_final.avi,1,0,0,0,0,0,0
4_1_trial_24_p0_drinken_geluiden_final.avi,1,1,0,0,0,0,0
4_1_trial_42_p0_weten_gebaren_final.avi,1,1,0,0,0,0,0
4_1_trial_48_p1_vogel_gebaren_final.avi,1,1,0,0,0,0,0
50_1_trial_13_p1_langzaam_gebaren_final.avi,1,1,0,0,0,0,0
50_2_trial_112_p1_vangen_combinatie_c0_final.avi,1,0,0,0,0,0,0
50_2_trial_23_p1_hoorn_geluiden_c0_final.avi,1,1,0,0,0,0,0
50_2_trial_9_p0_niet_geluiden_c2_final.avi,1,0,0,0,0,0,0
51_1_trial_32_p1_stil_combinatie_final.avi,1,1,0,0,0,0,0
51_1_trial_35_p1_kruipen_combinatie_final.avi,1,0,0,0,0,0,0
51_2_trial_39_p1_grommen_geluiden_c0_final.avi,1,1,0,0,0,0,0
51_2_trial_56_p0_zuigen_combinatie_c1_final.avi,1,0,0,0,0,0,0
52_1_trial_8_p0_grommen_gebaren_final.avi,1,1,0,0,0,0,0
52_2_trial_29_p0_boos_geluiden_c0_final.avi,1,1,0,0,0,0,0
52_2_trial_31_p0_snel_geluiden_c0_final.avi,1,1,0,0,0,0,0
52_2_trial_34_p0_vis_geluiden_c2_final.avi,1,1,0,0,0,0,0
52_2_trial_35_p0_goed_geluiden_c0_final.avi,1,1,0,0,0,0,0
52_2_trial_36_p0_goed_geluiden_c1_final.avi,1,1,0,0,0,0,0
52_2_trial_37_p0_goed_geluiden_c2_final.avi,1,1,0,0,0,0,0
52_2_trial_40_p0_vangen_geluiden_c0_final.avi,1,0,0,0,0,0,0
52_2_trial_41_p0_vangen_geluiden_c1_final.avi,1,0,0,0,0,0,0
52_2_trial_43_p0_kauwen_geluiden_c0_final.avi,1,1,0,0,0,0,0
52_2_trial_44_p0_kauwen_geluiden_c1_final.avi,1,0,0,0,0,0,0
52_2_trial_45_p0_kauwen_geluiden_c2_final.avi,1,1,0,0,0,0,0
