ID,trial_order,word,answer,exp,English
16,0,zingen,zingen,2,to sing
16,1,telefoon,appen,2,telephone
16,2,telefoon,communiceren,2,telephone
16,3,telefoon,bellen,2,telephone
16,4,ziek,ziek,2,sick
16,5,kruipen,kruipen,2,to crawl
16,6,springen,springen,2,to jump
16,7,weten,weten,2,to know
16,8,gooien,slaan,2,to throw
16,9,gooien,highfive,2,to throw
16,10,gooien,dunken,2,to throw
16,11,water,zuipen,2,water
16,12,water,drinken,2,water
16,13,water,slokken,2,water
16,14,wind,wind,2,wind
16,15,eend,eend,2,duck
16,16,geheim,fluisteren,2,secret
16,17,geheim,zwijgen,2,secret
16,18,geheim,stoppen,2,secret
16,19,kat,kat,2,cat
16,20,bliksem,raket,2,lightning
16,21,bliksem,tuinslang,2,lightning
16,22,bliksem,tuinieren,2,lightning
16,23,regen,vangen,2,rain
16,24,regen,regen,2,rain
16,25,klein,bukken,2,small
16,26,klein,kort,2,small
16,27,klein,klein,2,small
16,28,piepen,stotteren,2,squeak
16,29,piepen,achteruit,2,squeak
16,30,piepen,vrachtwagen,2,squeak
16,31,drinken,drinken,2,to drink
16,32,lopen,lopen,2,to walk
16,33,klok,tijd,2,clock
16,34,klok,klok,2,clock
16,35,bal,gooien,2,ball
16,36,bal,werpen,2,ball
16,37,bal,cirkel,2,ball
16,38,walgen,staan,2,disgusted
16,39,walgen,stinken,2,disgusted
16,40,walgen,vies,2,disgusted
16,41,blij,blij,2,happy
16,42,niet,nee,2,not
16,43,niet,verbieden,2,not
16,44,niet,kiezen,2,not
16,45,geur,ruiken,2,odor
16,46,geur,geur,2,odor
16,47,scherp,snee,2,sharp
16,48,scherp,hand,2,sharp
16,49,scherp,vingertop,2,sharp
16,50,kauwen,smakken,2,to chew
16,51,kauwen,kauwen,2,to chew
16,52,vallen,vallen,2,to fall
16,53,vliegtuig,vliegen,2,airplane
16,54,vliegtuig,vliegtuig,2,airplane
16,55,zwaaien,zwaaien,2,to wave
16,56,kind,laag,2,child
16,57,kind,jong,2,child
16,58,kind,tiener,2,child
16,59,vis,kip,2,fish
16,60,vis,figuur,2,fish
16,61,vis,bewegen,2,fish
16,62,hoog,klimmen,2,high
16,63,hoog,hoog,2,high
16,64,berg,berg,2,mountain
16,65,bang,schrikken,2,scared
16,66,bang,wow,2,scared
16,67,eten,eten,2,to eat
16,68,likken,likken,2,to lick
16,69,fiets,verward,2,bicycle
16,70,fiets,twijfel,2,bicycle
16,71,fiets,kiezen,2,bicycle
16,72,sneeuw,zingen,2,snow
16,73,sneeuw,neurien,2,snow
16,74,sneeuw,vrolijk,2,snow
16,75,ei,kip,2,egg
16,76,ei,haan,2,egg
16,77,ei,kukkelen,2,egg
16,78,zwaar,zuchten,2,heavy
16,79,zwaar,moe,2,heavy
16,80,zwaar,zuchten,2,heavy
16,81,man,grommen,2,male
16,82,man,beer,2,male
16,83,man,praten,2,male
16,84,vechten,vechten,2,to fight
16,85,geven,bevestigen,2,to give
16,86,geven,accepteren,2,to give
16,87,lachen,blij,2,to laugh
16,88,lachen,grappig,2,to laugh
16,89,lachen,vrolijk,2,to laugh
16,90,slapen,slapen,2,to sleep
16,91,glimlach,zucht,2,smile
16,92,glimlach,stem,2,smile
16,93,glimlach,lachen,2,smile
16,94,juichen,achtbaan,2,to cheer
16,95,juichen,juichen,2,to cheer
16,96,goed,twijfelen,2,good
16,97,goed,bevestigen,2,good
16,98,goed,eens,2,good
16,99,sterk,grommen,2,strong
16,100,sterk,boos,2,strong
16,101,sterk,kwaad,2,strong
16,102,onweer,brand,2,thunder
16,103,onweer,kortsluiting,2,thunder
16,104,onweer,oorlog,2,thunder
16,105,vangen,wapen,2,to catch
16,106,vangen,wind,2,to catch
16,107,vangen,graffiti,2,to catch
16,108,huilen,ruiken,2,to cry
16,108,huilen,ruiken,2,to weep
16,109,huilen,huilen,2,to cry
16,109,huilen,huilen,2,to weep
16,110,horen,lekker,2,to hear
16,111,horen,huh,2,to hear
