Time,TrialID,arms,lower_body,upper_body,head_mov,movement_in_trial
2816.666666666661,0_2_1_p0,movement,movement,movement,nomovement,movement
2833.333333333328,0_2_1_p0,movement,movement,movement,nomovement,movement
2849.9999999999945,0_2_1_p0,movement,movement,movement,movement,movement
2866.666666666661,0_2_1_p0,movement,movement,movement,movement,movement
2883.333333333328,0_2_1_p0,movement,movement,movement,movement,movement
2899.9999999999945,0_2_1_p0,movement,movement,movement,movement,movement
2916.666666666661,0_2_1_p0,movement,movement,movement,movement,movement
2933.333333333328,0_2_1_p0,movement,movement,movement,movement,movement
2949.9999999999945,0_2_1_p0,movement,movement,movement,movement,movement
2966.666666666661,0_2_1_p0,movement,movement,movement,movement,movement
2983.333333333328,0_2_1_p0,movement,movement,movement,movement,movement
2999.999999999994,0_2_1_p0,movement,movement,movement,movement,movement
3016.666666666661,0_2_1_p0,movement,movement,movement,movement,movement
3033.333333333328,0_2_1_p0,movement,movement,movement,movement,movement
3049.999999999994,0_2_1_p0,movement,movement,movement,movement,movement
3066.6666666666606,0_2_1_p0,movement,movement,movement,movement,movement
3083.333333333328,0_2_1_p0,movement,movement,movement,movement,movement
3099.999999999994,0_2_1_p0,movement,movement,movement,movement,movement
3116.6666666666606,0_2_1_p0,nomovement,movement,movement,movement,movement
3133.333333333327,0_2_1_p0,nomovement,movement,movement,movement,movement
3149.9999999999936,0_2_1_p0,nomovement,movement,movement,movement,movement
3166.66666666666,0_2_1_p0,nomovement,movement,movement,movement,movement
3183.333333333327,0_2_1_p0,nomovement,movement,movement,movement,movement
3199.999999999993,0_2_1_p0,nomovement,movement,movement,movement,movement
3216.66666666666,0_2_1_p0,nomovement,movement,movement,movement,movement
3233.3333333333267,0_2_1_p0,nomovement,movement,movement,movement,movement
3249.999999999993,0_2_1_p0,nomovement,movement,movement,movement,movement
3266.66666666666,0_2_1_p0,nomovement,movement,movement,movement,movement
3283.3333333333267,0_2_1_p0,nomovement,movement,movement,movement,movement
3299.999999999993,0_2_1_p0,nomovement,movement,movement,movement,movement
3316.66666666666,0_2_1_p0,nomovement,movement,movement,movement,movement
3333.333333333326,0_2_1_p0,nomovement,movement,movement,movement,movement
3349.999999999993,0_2_1_p0,nomovement,movement,movement,movement,movement
3366.66666666666,0_2_1_p0,nomovement,movement,movement,movement,movement
3383.333333333326,0_2_1_p0,nomovement,movement,movement,movement,movement
3399.9999999999927,0_2_1_p0,nomovement,movement,movement,movement,movement
3416.6666666666592,0_2_1_p0,nomovement,movement,movement,movement,movement
3433.333333333326,0_2_1_p0,nomovement,movement,movement,movement,movement
3449.9999999999927,0_2_1_p0,nomovement,movement,movement,movement,movement
3466.6666666666592,0_2_1_p0,nomovement,movement,movement,movement,movement
3483.3333333333258,0_2_1_p0,nomovement,movement,movement,movement,movement
3499.9999999999923,0_2_1_p0,nomovement,movement,movement,movement,movement
3516.6666666666592,0_2_1_p0,nomovement,movement,movement,movement,movement
3533.3333333333258,0_2_1_p0,nomovement,movement,movement,movement,movement
3549.9999999999923,0_2_1_p0,nomovement,movement,movement,movement,movement
3566.666666666659,0_2_1_p0,nomovement,movement,movement,nomovement,movement
3583.333333333325,0_2_1_p0,nomovement,movement,movement,nomovement,movement
3599.9999999999923,0_2_1_p0,nomovement,movement,movement,nomovement,movement
3616.6666666666574,0_2_1_p0,nomovement,movement,movement,nomovement,movement
3633.333333333325,0_2_1_p0,nomovement,movement,movement,nomovement,movement
3649.999999999992,0_2_1_p0,nomovement,movement,movement,nomovement,movement
3666.6666666666574,0_2_1_p0,nomovement,movement,movement,nomovement,movement
3683.333333333325,0_2_1_p0,nomovement,movement,movement,nomovement,movement
3699.999999999992,0_2_1_p0,nomovement,movement,movement,nomovement,movement
