Time,TrialID,RWrist_speed_event,RHip_speed_event,RAnkle_speed_event,RBigToe_speed_event,LBigToe_speed_event,LHeel_speed_event,RKnee_speed_event,RElbow_speed_event,Head_speed_event,LKnee_speed_event,LElbow_speed_event,LWrist_speed_event,Neck_speed_event,LShoulder_speed_event,LHip_speed_event,RSmallToe_speed_event,RHeel_speed_event,LSmallToe_speed_event,LAnkle_speed_event,RShoulder_speed_event,Nose_speed_event,RWrist_vert_vel_movement_event,LWrist_vert_vel_movement_event
1283.3333333333337,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,nomovement
1300.0000000000005,0_2_34_p1,movement,movement,movement,nomovement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,nomovement
1316.666666666667,0_2_34_p1,movement,movement,movement,nomovement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement
1333.3333333333337,0_2_34_p1,movement,movement,movement,nomovement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement
1350.0,0_2_34_p1,movement,movement,movement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement
1366.6666666666667,0_2_34_p1,movement,movement,movement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement
1383.3333333333333,0_2_34_p1,movement,movement,movement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement
1400.0,0_2_34_p1,movement,movement,movement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement
1416.6666666666663,0_2_34_p1,movement,movement,movement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement
1433.333333333333,0_2_34_p1,movement,movement,movement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement
1449.9999999999995,0_2_34_p1,movement,movement,movement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement
1466.6666666666663,0_2_34_p1,movement,movement,movement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement
1483.333333333333,0_2_34_p1,movement,movement,movement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement
1499.9999999999995,0_2_34_p1,movement,movement,movement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement
1516.666666666666,0_2_34_p1,movement,movement,movement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1533.3333333333328,0_2_34_p1,movement,movement,movement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1549.999999999999,0_2_34_p1,movement,movement,movement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
