,pcnfolder,mean_marker_error_RMS,sd_marker_error_RMS,mean_marker_error_max,sd_marker_error_max
4453,46_1_50_p1,0.042,0.011,0.093,0.042
4464,46_2_101_p1,0.047,0.024,0.098,0.047
4469,46_2_16_p1,0.059,0.023,0.136,0.058
4470,46_2_17_p1,0.059,0.026,0.138,0.077
4478,46_2_25_p1,0.05,0.022,0.117,0.062
4505,46_2_60_p1,0.043,0.057,0.118,0.255
4527,46_2_82_p0,0.051,0.031,0.154,0.142
4531,46_2_86_p0,0.044,0.013,0.117,0.06
4533,46_2_90_p1,0.056,0.014,0.126,0.055
4534,46_2_91_p1,0.042,0.006,0.094,0.024
4535,46_2_92_p1,0.057,0.026,0.115,0.065
4537,46_2_94_p1,0.041,0.011,0.09,0.036
4554,47_1_23_p0,0.051,0.023,0.131,0.097
4561,47_1_31_p1,0.046,0.019,0.1,0.054
4569,47_1_40_p0,0.083,0.043,0.19,0.108
4571,47_1_42_p0,0.041,0.039,0.101,0.181
4579,47_1_51_p1,0.042,0.018,0.095,0.048
4580,47_1_52_p1,0.041,0.011,0.103,0.046
4601,48_1_26_p0,0.059,0.034,0.123,0.078
4605,48_1_31_p1,0.058,0.019,0.138,0.067
4643,48_2_37_p0,0.056,0.033,0.103,0.056
4647,48_2_40_p0,0.066,0.038,0.131,0.068
4650,48_2_43_p0,0.067,0.032,0.136,0.054
4651,48_2_44_p0,0.048,0.01,0.118,0.034
4652,48_2_45_p0,0.063,0.023,0.133,0.041
4654,48_2_4_p0,0.045,0.02,0.106,0.049
4657,48_2_53_p1,0.044,0.016,0.101,0.054
4662,48_2_58_p1,0.058,0.027,0.146,0.091
4689,48_2_8_p0,0.061,0.028,0.125,0.051
4780,49_2_rein_74_p0,0.044,0.023,0.099,0.07
4782,49_2_rein_76_p0,0.047,0.024,0.113,0.099
4797,49_2_rein_94_p1,0.049,0.024,0.115,0.06
4882,50_1_rein_49_p1,0.067,0.023,0.141,0.05
4894,50_2_105_p1,0.043,0.034,0.112,0.157
4898,50_2_109_p1,0.042,0.015,0.098,0.044
