pcnfolder,mean_marker_error_RMS,sd_marker_error_RMS,mean_marker_error_max,sd_marker_error_max
27_1_43_p0,0.03,0.004,0.052,0.013
27_1_44_p0,0.031,0.005,0.056,0.016
27_1_47_p1,0.027,0.002,0.055,0.007
27_1_48_p1,0.027,0.001,0.055,0.003
27_1_49_p1,0.027,0.002,0.057,0.013
27_1_4_p0,0.025,0.003,0.057,0.017
27_1_50_p1,0.026,0.002,0.05,0.005
27_1_51_p1,0.027,0.001,0.056,0.004
27_1_52_p1,0.025,0.002,0.049,0.008
27_1_53_p1,0.027,0.001,0.053,0.006
27_1_5_p0,0.025,0.003,0.046,0.012
27_1_6_p0,0.046,0.024,0.112,0.067
27_1_7_p0,0.031,0.01,0.071,0.03
27_1_8_p0,0.03,0.003,0.065,0.015
27_1_tpose_p0,0.033,0.002,0.065,0.009
27_1_tpose_p1,0.025,0.001,0.05,0.003
27_2_100_p1,0.03,0.003,0.055,0.005
27_2_101_p1,0.028,0.004,0.057,0.007
27_2_102_p1,0.027,0.002,0.049,0.009
27_2_103_p1,0.027,0.002,0.05,0.005
27_2_10_p0,0.029,0.002,0.054,0.01
27_2_14_p1,0.033,0.006,0.077,0.02
27_2_15_p1,0.026,0.004,0.048,0.009
27_2_16_p1,0.026,0.002,0.052,0.007
27_2_17_p1,0.032,0.004,0.061,0.017
27_2_18_p1,0.029,0.003,0.065,0.013
27_2_19_p1,0.026,0.003,0.051,0.008
27_2_20_p1,0.049,0.014,0.112,0.037
27_2_21_p1,0.03,0.003,0.072,0.019
27_2_22_p1,0.027,0.003,0.06,0.013
27_2_23_p1,0.028,0.007,0.059,0.021
27_2_24_p1,0.027,0.002,0.054,0.004
27_2_25_p1,0.031,0.008,0.064,0.019
27_2_26_p1,0.031,0.005,0.071,0.018
27_2_27_p1,0.057,0.024,0.151,0.079
27_2_28_p1,0.052,0.031,0.108,0.063
27_2_31_p0,0.028,0.003,0.056,0.011
27_2_32_p0,0.032,0.003,0.071,0.014
27_2_33_p0,0.032,0.003,0.065,0.009
27_2_34_p0,0.032,0.005,0.069,0.017
27_2_35_p0,0.033,0.006,0.063,0.017
27_2_36_p0,0.029,0.002,0.055,0.009
27_2_37_p0,0.036,0.009,0.076,0.028
27_2_38_p0,0.027,0.002,0.049,0.008
27_2_39_p0,0.099,0.032,0.236,0.079
27_2_3_p0,0.042,0.018,0.092,0.039
27_2_40_p0,0.034,0.008,0.073,0.026
27_2_41_p0,0.036,0.003,0.072,0.011
27_2_42_p0,0.032,0.006,0.074,0.024
27_2_43_p0,0.031,0.006,0.064,0.031
27_2_48_p1,0.028,0.003,0.061,0.014
27_2_49_p1,0.032,0.007,0.066,0.018
27_2_4_p0,0.025,0.003,0.047,0.007
27_2_50_p1,0.03,0.005,0.065,0.02
27_2_51_p1,0.027,0.002,0.059,0.016
27_2_52_p1,0.042,0.01,0.095,0.03
27_2_53_p1,0.042,0.015,0.09,0.042
27_2_54_p1,0.034,0.007,0.075,0.018
27_2_55_p1,0.048,0.012,0.124,0.035
27_2_56_p1,0.03,0.005,0.068,0.017
27_2_57_p1,0.031,0.005,0.062,0.021
27_2_58_p1,0.033,0.007,0.067,0.02
27_2_59_p1,0.031,0.004,0.061,0.01
27_2_5_p0,0.031,0.003,0.063,0.017
27_2_60_p1,0.029,0.004,0.061,0.014
27_2_61_p1,0.035,0.006,0.082,0.026
27_2_66_p0,0.03,0.006,0.053,0.022
27_2_67_p0,0.029,0.003,0.051,0.007
27_2_68_p0,0.031,0.004,0.055,0.016
27_2_69_p0,0.034,0.005,0.065,0.018
27_2_6_p0,0.033,0.004,0.075,0.018
27_2_70_p0,0.031,0.006,0.065,0.015
27_2_71_p0,0.053,0.019,0.115,0.05
27_2_72_p0,0.027,0.001,0.051,0.008
27_2_73_p0,0.029,0.003,0.051,0.008
27_2_74_p0,0.029,0.004,0.055,0.014
27_2_75_p0,0.032,0.002,0.056,0.008
27_2_76_p0,0.031,0.003,0.059,0.01
27_2_77_p0,0.029,0.002,0.051,0.011
27_2_78_p0,0.039,0.008,0.077,0.019
27_2_79_p0,0.032,0.007,0.064,0.02
27_2_7_p0,0.028,0.003,0.053,0.008
27_2_80_p0,0.066,0.019,0.14,0.037
27_2_81_p0,0.054,0.011,0.138,0.035
27_2_82_p0,0.03,0.005,0.052,0.017
27_2_89_p1,0.026,0.003,0.049,0.007
27_2_8_p0,0.028,0.005,0.051,0.012
27_2_90_p1,0.027,0.001,0.05,0.005
27_2_91_p1,0.026,0.002,0.05,0.005
27_2_92_p1,0.028,0.002,0.053,0.005
27_2_93_p1,0.027,0.002,0.051,0.004
27_2_94_p1,0.031,0.003,0.062,0.006
27_2_95_p1,0.028,0.001,0.052,0.003
27_2_96_p1,0.029,0.002,0.054,0.006
27_2_97_p1,0.031,0.003,0.061,0.007
27_2_98_p1,0.029,0.002,0.057,0.007
27_2_99_p1,0.029,0.003,0.054,0.005
27_2_9_p0,0.028,0.004,0.056,0.018
28_1_11_p1,0.028,0.001,0.054,0.004
28_1_12_p1,0.026,0.002,0.05,0.011
28_1_13_p1,0.024,0.002,0.05,0.012
28_1_14_p1,0.024,0.002,0.047,0.011
28_1_15_p1,0.024,0.002,0.047,0.005
28_1_16_p1,0.025,0.002,0.045,0.005
28_1_17_p1,0.028,0.001,0.051,0.006
28_1_20_p0,0.037,0.013,0.077,0.037
28_1_21_p0,0.03,0.004,0.06,0.015
28_1_22_p0,0.03,0.006,0.062,0.023
28_1_23_p0,0.027,0.002,0.05,0.003
28_1_24_p0,0.033,0.005,0.066,0.011
28_1_25_p0,0.041,0.049,0.121,0.248
28_1_26_p0,0.033,0.016,0.065,0.037
28_1_29_p1,0.03,0.003,0.058,0.011
28_1_2_p0,0.024,0.001,0.047,0.002
28_1_30_p1,0.028,0.001,0.056,0.005
28_1_31_p1,0.027,0.003,0.056,0.011
28_1_32_p1,0.031,0.005,0.064,0.02
28_1_33_p1,0.043,0.005,0.099,0.02
28_1_34_p1,0.031,0.004,0.06,0.011
28_1_35_p1,0.031,0.002,0.065,0.012
28_1_38_p0,0.026,0.003,0.055,0.006
28_1_39_p0,0.042,0.026,0.096,0.077
28_1_3_p0,0.023,0.001,0.045,0.004
28_1_40_p0,0.029,0.003,0.058,0.009
28_1_41_p0,0.037,0.012,0.083,0.047
28_1_42_p0,0.057,0.019,0.144,0.068
28_1_43_p0,0.028,0.003,0.056,0.009
28_1_44_p0,0.029,0.002,0.059,0.01
28_1_47_p1,0.026,0.001,0.052,0.004
28_1_48_p1,0.03,0.003,0.061,0.013
28_1_49_p1,0.031,0.003,0.057,0.012
28_1_4_p0,0.025,0.002,0.046,0.004
28_1_50_p1,0.032,0.002,0.059,0.008
28_1_51_p1,0.027,0.001,0.052,0.006
28_1_52_p1,0.029,0.003,0.05,0.007
28_1_53_p1,0.028,0.003,0.055,0.015
28_1_5_p0,0.024,0.002,0.046,0.005
28_1_6_p0,0.024,0.002,0.046,0.004
28_1_7_p0,0.024,0.002,0.045,0.004
28_1_8_p0,0.024,0.002,0.047,0.003
28_1_tpose_p0,0.027,0.001,0.062,0.004
28_1_tpose_p1,0.029,0.001,0.052,0.002
28_2_10_p0,0.028,0.003,0.056,0.015
28_2_11_p0,0.03,0.004,0.062,0.013
28_2_16_p1,0.027,0.002,0.05,0.004
28_2_17_p1,0.027,0.003,0.057,0.008
28_2_18_p1,0.028,0.002,0.05,0.007
28_2_19_p1,0.046,0.01,0.094,0.02
28_2_20_p1,0.03,0.001,0.06,0.007
28_2_21_p1,0.028,0.003,0.053,0.013
28_2_22_p1,0.027,0.002,0.054,0.011
28_2_23_p1,0.028,0.002,0.056,0.007
28_2_24_p1,0.031,0.003,0.061,0.011
28_2_29_p0,0.025,0.001,0.048,0.004
28_2_2_p0,0.027,0.003,0.056,0.015
28_2_30_p0,0.035,0.007,0.077,0.022
28_2_31_p0,0.036,0.006,0.079,0.026
28_2_32_p0,0.034,0.006,0.072,0.014
28_2_33_p0,0.036,0.012,0.079,0.035
28_2_34_p0,0.048,0.015,0.129,0.064
28_2_35_p0,0.038,0.036,0.099,0.167
28_2_36_p0,0.054,0.006,0.106,0.021
28_2_37_p0,0.023,0.001,0.044,0.005
28_2_38_p0,0.025,0.004,0.048,0.009
28_2_39_p0,0.027,0.007,0.055,0.021
28_2_3_p0,0.027,0.003,0.055,0.015
28_2_40_p0,0.026,0.003,0.052,0.009
28_2_41_p0,0.027,0.007,0.054,0.018
28_2_42_p0,0.028,0.003,0.05,0.011
28_2_43_p0,0.029,0.012,0.057,0.032
28_2_44_p0,0.027,0.002,0.049,0.007
28_2_4_p0,0.026,0.002,0.055,0.008
28_2_51_p1,0.03,0.002,0.053,0.004
28_2_52_p1,0.03,0.002,0.057,0.007
28_2_53_p1,0.029,0.003,0.057,0.012
28_2_54_p1,0.03,0.001,0.053,0.004
28_2_55_p1,0.027,0.001,0.054,0.002
28_2_56_p1,0.028,0.002,0.048,0.003
28_2_57_p1,0.028,0.002,0.051,0.005
28_2_58_p1,0.028,0.001,0.047,0.003
28_2_59_p1,0.026,0.001,0.046,0.003
28_2_5_p0,0.026,0.003,0.051,0.008
28_2_60_p1,0.03,0.003,0.057,0.01
28_2_61_p1,0.031,0.003,0.062,0.016
28_2_62_p1,0.04,0.013,0.095,0.041
28_2_63_p1,0.027,0.002,0.049,0.005
28_2_64_p1,0.036,0.008,0.071,0.032
28_2_65_p1,0.032,0.002,0.057,0.009
28_2_66_p1,0.03,0.002,0.051,0.005
28_2_67_p1,0.03,0.003,0.052,0.005
28_2_68_p1,0.03,0.003,0.055,0.01
28_2_69_p1,0.031,0.002,0.06,0.013
28_2_6_p0,0.028,0.004,0.055,0.013
28_2_75_p0,0.027,0.003,0.053,0.011
28_2_76_p0,0.027,0.004,0.059,0.015
28_2_77_p0,0.027,0.002,0.05,0.007
28_2_78_p0,0.045,0.019,0.111,0.053
28_2_79_p0,0.051,0.024,0.112,0.052
28_2_7_p0,0.03,0.004,0.062,0.012
28_2_80_p0,0.041,0.021,0.092,0.06
28_2_81_p0,0.022,0.001,0.041,0.004
28_2_82_p0,0.035,0.022,0.075,0.065
28_2_83_p0,0.029,0.004,0.056,0.01
28_2_84_p0,0.028,0.002,0.05,0.006
28_2_85_p0,0.038,0.014,0.079,0.031
28_2_86_p0,0.032,0.008,0.065,0.019
28_2_8_p0,0.026,0.003,0.05,0.01
28_2_90_p1,0.033,0.003,0.071,0.011
28_2_91_p1,0.03,0.003,0.062,0.011
28_2_92_p1,0.064,0.034,0.129,0.062
28_2_93_p1,0.033,0.003,0.072,0.015
28_2_94_p1,0.031,0.002,0.059,0.002
28_2_95_p1,0.032,0.003,0.063,0.007
28_2_96_p1,0.031,0.002,0.061,0.006
28_2_97_p1,0.033,0.004,0.068,0.012
28_2_98_p1,0.029,0.002,0.057,0.005
28_2_99_p1,0.032,0.005,0.066,0.019
28_2_9_p0,0.026,0.002,0.049,0.006
29_1_11_p1,0.029,0.001,0.052,0.003
29_1_12_p1,0.027,0.002,0.047,0.005
29_1_13_p1,0.03,0.002,0.05,0.003
29_1_14_p1,0.029,0.003,0.047,0.006
29_1_15_p1,0.029,0.002,0.048,0.005
29_1_16_p1,0.03,0.002,0.051,0.008
29_1_17_p1,0.029,0.002,0.05,0.007
29_1_20_p0,0.028,0.003,0.052,0.006
29_1_21_p0,0.028,0.004,0.058,0.016
29_1_22_p0,0.029,0.009,0.061,0.038
29_1_23_p0,0.029,0.008,0.067,0.034
29_1_24_p0,0.025,0.003,0.048,0.008
29_1_25_p0,0.045,0.009,0.101,0.032
29_1_26_p0,0.03,0.005,0.064,0.019
29_1_29_p1,0.044,0.027,0.09,0.065
29_1_2_p0,0.024,0.001,0.045,0.004
29_1_30_p1,0.031,0.005,0.061,0.012
29_1_31_p1,0.03,0.003,0.062,0.013
29_1_32_p1,0.034,0.007,0.076,0.016
29_1_33_p1,0.035,0.006,0.075,0.022
29_1_34_p1,0.034,0.006,0.067,0.022
29_1_35_p1,0.027,0.002,0.05,0.005
29_1_38_p0,0.037,0.007,0.081,0.023
29_1_39_p0,0.028,0.005,0.056,0.013
29_1_3_p0,0.025,0.001,0.052,0.006
29_1_40_p0,0.041,0.035,0.093,0.099
29_1_41_p0,0.031,0.004,0.061,0.014
29_1_42_p0,0.029,0.005,0.06,0.01
29_1_43_p0,0.025,0.001,0.049,0.005
29_1_44_p0,0.032,0.015,0.072,0.059
29_1_47_p1,0.032,0.004,0.059,0.011
29_1_48_p1,0.032,0.004,0.068,0.009
29_1_49_p1,0.043,0.016,0.095,0.05
29_1_4_p0,0.025,0.001,0.055,0.006
29_1_50_p1,0.029,0.002,0.052,0.009
29_1_51_p1,0.036,0.007,0.077,0.025
29_1_52_p1,0.03,0.002,0.06,0.013
29_1_53_p1,0.029,0.003,0.053,0.01
29_1_5_p0,0.025,0.001,0.051,0.005
29_1_6_p0,0.025,0.001,0.048,0.003
29_1_7_p0,0.025,0.001,0.049,0.002
29_1_8_p0,0.025,0.001,0.048,0.002
29_1_tpose_p0,0.023,0.001,0.047,0.002
29_1_tpose_p1,0.023,0.001,0.041,0.004
29_2_10_p0,0.023,0.003,0.044,0.008
29_2_11_p0,0.027,0.017,0.06,0.048
29_2_12_p0,0.025,0.002,0.056,0.009
29_2_13_p0,0.027,0.002,0.053,0.007
29_2_14_p0,0.028,0.002,0.053,0.008
29_2_19_p1,0.051,0.02,0.12,0.067
29_2_20_p1,0.044,0.021,0.099,0.066
29_2_21_p1,0.03,0.005,0.063,0.021
29_2_22_p1,0.034,0.005,0.079,0.027
29_2_23_p1,0.033,0.01,0.066,0.029
29_2_24_p1,0.027,0.004,0.051,0.01
29_2_25_p1,0.028,0.002,0.056,0.008
29_2_26_p1,0.036,0.003,0.07,0.011
29_2_27_p1,0.031,0.003,0.056,0.01
29_2_28_p1,0.032,0.004,0.065,0.019
29_2_29_p1,0.035,0.007,0.075,0.025
29_2_34_p0,0.025,0.002,0.052,0.006
29_2_35_p0,0.025,0.001,0.049,0.005
29_2_36_p0,0.033,0.009,0.067,0.026
29_2_37_p0,0.025,0.005,0.052,0.017
29_2_38_p0,0.025,0.003,0.048,0.008
29_2_39_p0,0.024,0.004,0.05,0.014
29_2_3_p0,0.03,0.006,0.068,0.025
29_2_40_p0,0.025,0.003,0.052,0.015
29_2_41_p0,0.022,0.002,0.044,0.006
29_2_42_p0,0.023,0.002,0.047,0.01
29_2_43_p0,0.024,0.002,0.046,0.005
29_2_44_p0,0.024,0.002,0.046,0.004
29_2_45_p0,0.023,0.002,0.046,0.008
29_2_46_p0,0.024,0.002,0.049,0.005
29_2_47_p0,0.024,0.003,0.05,0.007
29_2_48_p0,0.024,0.002,0.049,0.01
29_2_49_p0,0.025,0.001,0.053,0.006
29_2_4_p0,0.028,0.012,0.059,0.037
29_2_50_p0,0.025,0.001,0.047,0.002
29_2_55_p1,0.028,0.003,0.047,0.008
29_2_56_p1,0.029,0.003,0.049,0.007
29_2_57_p1,0.028,0.004,0.049,0.012
29_2_58_p1,0.028,0.001,0.047,0.004
29_2_59_p1,0.028,0.001,0.047,0.004
29_2_5_p0,0.025,0.003,0.051,0.007
29_2_60_p1,0.03,0.001,0.059,0.004
29_2_61_p1,0.03,0.003,0.054,0.006
29_2_62_p1,0.029,0.003,0.049,0.007
29_2_63_p1,0.028,0.001,0.056,0.005
29_2_64_p1,0.029,0.002,0.049,0.009
29_2_65_p1,0.028,0.002,0.046,0.006
29_2_66_p1,0.028,0.002,0.049,0.005
29_2_67_p1,0.026,0.001,0.042,0.003
29_2_68_p1,0.027,0.002,0.047,0.011
29_2_69_p1,0.028,0.003,0.048,0.007
29_2_6_p0,0.024,0.002,0.049,0.01
29_2_70_p1,0.031,0.003,0.057,0.004
29_2_71_p1,0.027,0.001,0.048,0.004
29_2_75_p0,0.07,0.026,0.146,0.054
29_2_76_p0,0.032,0.004,0.059,0.013
29_2_77_p0,0.034,0.007,0.069,0.016
29_2_78_p0,0.029,0.016,0.065,0.06
29_2_79_p0,0.026,0.005,0.059,0.015
29_2_7_p0,0.025,0.003,0.059,0.013
29_2_80_p0,0.026,0.004,0.056,0.012
29_2_81_p0,0.029,0.007,0.06,0.015
29_2_82_p0,0.028,0.003,0.055,0.012
29_2_83_p0,0.029,0.008,0.06,0.028
29_2_84_p0,0.051,0.044,0.13,0.144
29_2_85_p0,0.03,0.007,0.066,0.028
29_2_88_p1,0.048,0.013,0.111,0.043
29_2_89_p1,0.028,0.004,0.056,0.013
29_2_8_p0,0.036,0.014,0.088,0.041
29_2_90_p1,0.031,0.005,0.067,0.016
29_2_91_p1,0.03,0.004,0.063,0.012
29_2_92_p1,0.032,0.004,0.075,0.022
29_2_93_p1,0.033,0.005,0.073,0.021
29_2_94_p1,0.03,0.003,0.06,0.013
29_2_95_p1,0.029,0.003,0.059,0.013
29_2_96_p1,0.029,0.004,0.06,0.021
29_2_97_p1,0.026,0.003,0.051,0.009
29_2_98_p1,0.036,0.01,0.083,0.041
29_2_99_p1,0.032,0.003,0.065,0.015
29_2_9_p0,0.027,0.004,0.057,0.017
2_1_11_p1,0.037,0.001,0.068,0.003
2_1_12_p1,0.043,0.007,0.088,0.019
2_1_13_p1,0.041,0.006,0.1,0.021
2_1_14_p1,0.042,0.004,0.082,0.01
2_1_15_p1,0.038,0.003,0.077,0.013
2_1_16_p1,0.047,0.014,0.104,0.046
2_1_17_p1,0.036,0.002,0.068,0.006
2_1_20_p0,0.026,0.003,0.047,0.006
2_1_21_p0,0.026,0.002,0.049,0.006
2_1_22_p0,0.028,0.009,0.058,0.034
2_1_23_p0,0.026,0.002,0.045,0.005
2_1_24_p0,0.026,0.002,0.048,0.005
2_1_25_p0,0.034,0.011,0.071,0.034
2_1_26_p0,0.029,0.003,0.056,0.012
2_1_29_p1,0.028,0.001,0.063,0.002
2_1_2_p0,0.029,0.003,0.056,0.009
2_1_30_p1,0.032,0.002,0.064,0.011
2_1_31_p1,0.032,0.006,0.066,0.014
2_1_32_p1,0.03,0.001,0.063,0.003
2_1_33_p1,0.028,0.001,0.065,0.003
2_1_34_p1,0.029,0.001,0.063,0.002
2_1_35_p1,0.028,0.001,0.062,0.003
2_1_38_p0,0.027,0.002,0.053,0.005
2_1_39_p0,0.03,0.003,0.061,0.014
2_1_3_p0,0.031,0.005,0.061,0.015
2_1_40_p0,0.035,0.006,0.077,0.019
2_1_41_p0,0.032,0.003,0.072,0.009
2_1_42_p0,0.032,0.007,0.062,0.018
2_1_43_p0,0.032,0.006,0.069,0.026
2_1_44_p0,0.028,0.006,0.053,0.024
2_1_47_p1,0.035,0.001,0.076,0.008
2_1_48_p1,0.034,0.002,0.071,0.009
2_1_49_p1,0.038,0.002,0.079,0.011
2_1_4_p0,0.031,0.005,0.064,0.015
2_1_50_p1,0.036,0.003,0.085,0.012
2_1_51_p1,0.036,0.003,0.074,0.007
2_1_52_p1,0.039,0.003,0.077,0.01
2_1_53_p1,0.038,0.003,0.079,0.013
2_1_5_p0,0.028,0.002,0.055,0.007
2_1_6_p0,0.03,0.004,0.058,0.015
2_1_7_p0,0.03,0.003,0.055,0.008
2_1_8_p0,0.031,0.002,0.065,0.012
2_1_tpose_p0,0.027,0.001,0.048,0.002
2_1_tpose_p1,0.037,0.001,0.082,0.003
2_2_100_p1,0.035,0.004,0.07,0.015
2_2_101_p1,0.033,0.001,0.067,0.006
2_2_102_p1,0.049,0.02,0.122,0.06
2_2_103_p1,0.054,0.02,0.147,0.08
2_2_104_p1,0.041,0.003,0.095,0.013
2_2_105_p1,0.04,0.003,0.094,0.019
2_2_10_p0,0.033,0.004,0.083,0.022
2_2_11_p0,0.038,0.012,0.095,0.035
2_2_12_p0,0.034,0.006,0.076,0.021
2_2_13_p0,0.035,0.006,0.087,0.023
2_2_14_p0,0.04,0.006,0.102,0.026
2_2_15_p0,0.039,0.009,0.097,0.032
2_2_16_p0,0.029,0.003,0.067,0.011
2_2_17_p0,0.027,0.003,0.056,0.007
2_2_18_p0,0.027,0.006,0.061,0.018
2_2_21_p1,0.031,0.002,0.059,0.004
2_2_22_p1,0.032,0.002,0.065,0.003
2_2_23_p1,0.031,0.002,0.07,0.005
2_2_24_p1,0.032,0.002,0.073,0.008
2_2_25_p1,0.047,0.007,0.105,0.026
2_2_26_p1,0.037,0.004,0.091,0.014
2_2_27_p1,0.04,0.005,0.086,0.013
2_2_28_p1,0.036,0.011,0.074,0.03
2_2_29_p1,0.033,0.004,0.068,0.008
2_2_30_p1,0.052,0.01,0.122,0.031
2_2_31_p1,0.035,0.003,0.073,0.008
2_2_32_p1,0.039,0.006,0.092,0.018
2_2_33_p1,0.039,0.008,0.093,0.029
2_2_34_p1,0.038,0.007,0.094,0.025
2_2_35_p1,0.036,0.003,0.081,0.011
2_2_36_p1,0.031,0.003,0.072,0.006
2_2_41_p0,0.025,0.002,0.047,0.006
2_2_42_p0,0.026,0.004,0.051,0.018
2_2_43_p0,0.027,0.003,0.052,0.011
2_2_44_p0,0.024,0.002,0.047,0.007
2_2_45_p0,0.026,0.003,0.053,0.009
2_2_46_p0,0.027,0.005,0.057,0.022
2_2_47_p0,0.034,0.021,0.077,0.05
2_2_48_p0,0.025,0.003,0.048,0.007
2_2_49_p0,0.024,0.003,0.045,0.006
2_2_4_p0,0.03,0.004,0.061,0.01
2_2_50_p0,0.028,0.002,0.056,0.008
2_2_51_p0,0.03,0.007,0.06,0.016
2_2_52_p0,0.027,0.003,0.054,0.011
2_2_53_p0,0.029,0.002,0.058,0.006
2_2_5_p0,0.037,0.009,0.097,0.035
2_2_60_p1,0.033,0.002,0.069,0.011
2_2_61_p1,0.031,0.001,0.074,0.005
2_2_62_p1,0.036,0.013,0.075,0.03
2_2_63_p1,0.032,0.007,0.073,0.02
2_2_64_p1,0.038,0.004,0.078,0.007
2_2_65_p1,0.033,0.003,0.064,0.006
2_2_66_p1,0.032,0.002,0.061,0.006
2_2_67_p1,0.033,0.002,0.071,0.005
2_2_68_p1,0.037,0.007,0.081,0.016
2_2_69_p1,0.03,0.001,0.064,0.002
2_2_6_p0,0.037,0.004,0.081,0.014
2_2_70_p1,0.031,0.001,0.064,0.002
2_2_71_p1,0.037,0.003,0.07,0.007
2_2_72_p1,0.035,0.003,0.071,0.006
2_2_77_p0,0.03,0.003,0.063,0.011
2_2_78_p0,0.028,0.003,0.053,0.011
2_2_79_p0,0.029,0.005,0.059,0.018
2_2_7_p0,0.033,0.012,0.071,0.039
2_2_80_p0,0.029,0.003,0.053,0.01
2_2_81_p0,0.036,0.003,0.089,0.016
2_2_82_p0,0.033,0.003,0.069,0.016
2_2_83_p0,0.033,0.005,0.073,0.019
2_2_84_p0,0.029,0.004,0.059,0.011
2_2_85_p0,0.028,0.002,0.053,0.007
2_2_86_p0,0.031,0.004,0.063,0.015
2_2_87_p0,0.029,0.003,0.056,0.01
2_2_88_p0,0.029,0.004,0.063,0.016
2_2_89_p0,0.027,0.002,0.054,0.007
2_2_8_p0,0.026,0.008,0.058,0.027
2_2_90_p0,0.03,0.005,0.066,0.023
2_2_91_p0,0.036,0.011,0.085,0.04
2_2_95_p1,0.047,0.018,0.102,0.054
2_2_96_p1,0.035,0.004,0.072,0.011
2_2_97_p1,0.073,0.03,0.149,0.069
2_2_98_p1,0.046,0.011,0.116,0.035
2_2_99_p1,0.05,0.019,0.12,0.059
2_2_9_p0,0.027,0.004,0.058,0.012
30_1_11_p1,0.026,0.003,0.052,0.011
30_1_12_p1,0.027,0.006,0.057,0.019
30_1_13_p1,0.025,0.004,0.048,0.012
30_1_14_p1,0.028,0.004,0.054,0.012
30_1_15_p1,0.028,0.003,0.056,0.01
30_1_16_p1,0.027,0.004,0.054,0.013
30_1_17_p1,0.028,0.005,0.057,0.015
30_1_20_p0,0.028,0.003,0.051,0.007
30_1_21_p0,0.042,0.016,0.109,0.07
30_1_22_p0,0.033,0.012,0.068,0.032
30_1_23_p0,0.027,0.002,0.053,0.008
30_1_24_p0,0.026,0.003,0.048,0.008
30_1_25_p0,0.079,0.033,0.196,0.092
30_1_26_p0,0.025,0.003,0.044,0.01
30_1_29_p1,0.031,0.005,0.066,0.022
30_1_2_p0,0.028,0.003,0.052,0.009
30_1_30_p1,0.031,0.003,0.064,0.015
30_1_31_p1,0.027,0.003,0.052,0.009
30_1_32_p1,0.033,0.005,0.065,0.011
30_1_33_p1,0.045,0.03,0.1,0.078
30_1_34_p1,0.031,0.005,0.068,0.015
30_1_35_p1,0.032,0.005,0.069,0.022
30_1_38_p0,0.031,0.004,0.06,0.012
30_1_39_p0,0.059,0.025,0.149,0.081
30_1_3_p0,0.027,0.003,0.048,0.008
30_1_40_p0,0.04,0.015,0.091,0.041
30_1_41_p0,0.026,0.002,0.048,0.009
30_1_42_p0,0.029,0.004,0.054,0.016
30_1_43_p0,0.026,0.002,0.054,0.005
30_1_44_p0,0.029,0.005,0.062,0.02
30_1_47_p1,0.033,0.005,0.062,0.033
30_1_48_p1,0.031,0.004,0.061,0.012
30_1_49_p1,0.033,0.004,0.065,0.013
30_1_4_p0,0.027,0.002,0.048,0.008
30_1_50_p1,0.028,0.004,0.058,0.015
30_1_51_p1,0.033,0.004,0.064,0.012
30_1_52_p1,0.04,0.011,0.087,0.032
30_1_53_p1,0.034,0.006,0.077,0.025
30_1_5_p0,0.025,0.002,0.044,0.005
30_1_6_p0,0.028,0.002,0.049,0.006
30_1_7_p0,0.026,0.002,0.047,0.008
30_1_8_p0,0.025,0.001,0.042,0.003
30_1_tpose_p0,0.028,0.001,0.053,0.004
30_1_tpose_p1,0.029,0.001,0.06,0.005
30_2_100_p1,0.033,0.004,0.068,0.014
30_2_101_p1,0.036,0.007,0.083,0.024
30_2_102_p1,0.032,0.003,0.064,0.012
30_2_103_p1,0.041,0.016,0.092,0.046
30_2_104_p1,0.032,0.003,0.065,0.01
30_2_105_p1,0.031,0.003,0.061,0.011
30_2_106_p1,0.033,0.005,0.071,0.018
30_2_107_p1,0.035,0.007,0.08,0.027
30_2_108_p1,0.03,0.003,0.054,0.008
30_2_109_p1,0.032,0.004,0.065,0.019
30_2_10_p0,0.025,0.002,0.041,0.004
30_2_110_p1,0.035,0.005,0.08,0.024
30_2_11_p0,0.026,0.001,0.049,0.004
30_2_12_p0,0.025,0.002,0.046,0.006
30_2_13_p0,0.028,0.002,0.049,0.006
30_2_14_p0,0.025,0.001,0.044,0.004
30_2_15_p0,0.028,0.001,0.046,0.004
30_2_16_p0,0.026,0.002,0.043,0.004
30_2_17_p0,0.026,0.001,0.046,0.005
30_2_18_p0,0.025,0.002,0.043,0.003
30_2_19_p0,0.026,0.001,0.046,0.004
30_2_20_p0,0.029,0.002,0.058,0.009
30_2_26_p1,0.03,0.004,0.056,0.014
30_2_27_p1,0.031,0.003,0.059,0.013
30_2_28_p1,0.029,0.003,0.058,0.009
30_2_29_p1,0.032,0.004,0.061,0.012
30_2_30_p1,0.032,0.005,0.063,0.017
30_2_31_p1,0.031,0.004,0.057,0.012
30_2_32_p1,0.031,0.004,0.067,0.022
30_2_33_p1,0.032,0.004,0.062,0.017
30_2_34_p1,0.032,0.004,0.062,0.017
30_2_35_p1,0.031,0.006,0.065,0.026
30_2_36_p1,0.03,0.003,0.059,0.009
30_2_37_p1,0.034,0.004,0.065,0.018
30_2_38_p1,0.033,0.003,0.069,0.013
30_2_39_p1,0.032,0.003,0.061,0.014
30_2_40_p1,0.031,0.003,0.059,0.008
30_2_44_p0,0.03,0.006,0.064,0.018
30_2_45_p0,0.027,0.002,0.053,0.007
30_2_46_p0,0.059,0.102,0.212,0.525
30_2_47_p0,0.05,0.016,0.128,0.045
30_2_48_p0,0.031,0.008,0.079,0.034
30_2_49_p0,0.028,0.006,0.066,0.028
30_2_50_p0,0.03,0.009,0.072,0.028
